id,uid,date,swipein,"swipe in time","break in","break in time",breakout,"breakout time","check out","check out time","total working hour"
450,135,2016-03-24,00 : 00,03:01:23 pm,00 : 06,08:16:13 pm,00 : 06,08:16:16 pm,00 : 12,08:16:23 pm,00:02:28
451,135,2016-03-24,00 : 00,03:02:48 pm,00 : 06,08:16:13 pm,00 : 06,08:16:16 pm,00 : 12,08:16:23 pm,00:02:28
452,135,2016-04-02,00 : 00,08:13:55 pm,00 : 06,08:16:13 pm,00 : 06,08:16:16 pm,00 : 12,08:16:23 pm,00:02:28
453,135,2016-04-02,00 : 00,08:16:05 pm,00 : 06,08:16:13 pm,00 : 06,08:16:16 pm,00 : 12,08:16:23 pm,00:02:28
